respondent_id,field_day,supplier,screener_version,loi_minutes,age_band,gender,region,education,urbanicity,aware,consider,used_12m,b1,b2,b3,b4,b5,b6,b7,b8
R00028,9,Colwyn,v2_12month,6.0,35-54,Female,West,High school or less,Suburban,1,0,0,4,5,2,3,3,4,1,2
R00029,2,Meridian,v1_3month,7.7,35-54,Male,Midwest,Bachelor's or higher,Urban,1,1,0,5,5,5,5,5,5,5,5
R00030,8,Colwyn,v2_12month,5.5,18-34,Female,Midwest,High school or less,Suburban,1,1,1,5,4,2,1,1,5,3,2
R00031,9,Colwyn,v2_12month,2.4,18-34,Female,Midwest,Some college,Suburban,1,0,0,1,2,3,4,5,1,2,3
R00032,4,Colwyn,v2_12month,8.6,18-34,Male,West,High school or less,Urban,0,0,0,5,4,3,2,1,5,4,3
R00033,5,Colwyn,v2_12month,9.1,35-54,Male,West,High school or less,Urban,1,0,0,2,3,5,1,1,2,4,5
R00034,6,Colwyn,v2_12month,5.8,18-34,Male,West,High school or less,Urban,1,0,0,1,5,3,2,5,4,2,1
R00035,4,Colwyn,v2_12month,6.6,18-34,Female,Midwest,Bachelor's or higher,Suburban,1,0,0,5,1,2,3,1,2,3,4
R00036,4,Colwyn,v2_12month,8.4,18-34,Female,Midwest,Bachelor's or higher,Urban,0,0,0,5,4,3,2,5,4,2,1
R00037,2,Meridian,v1_3month,5.8,55-64,Male,Midwest,High school or less,Suburban,0,0,0,2,3,5,1,3,4,1,2
R00038,4,Colwyn,v2_12month,8.2,35-54,Male,South,Bachelor's or higher,Urban,1,0,0,5,4,3,1,1,5,3,2
R00039,1,Meridian,v1_3month,5.5,18-34,Male,Northeast,Bachelor's or higher,Suburban,0,0,0,5,1,2,3,4,5,1,2
R00040,2,Meridian,v1_3month,6.7,65+,Female,Midwest,Bachelor's or higher,Urban,1,0,0,2,3,4,5,3,4,5,1
R00041,4,Colwyn,v2_12month,5.2,18-34,Male,Midwest,High school or less,Urban,0,0,0,3,2,5,4,2,1,4,3
R00042,6,Colwyn,v2_12month,9.1,35-54,Female,South,High school or less,Suburban,0,0,0,2,3,5,1,3,4,1,2
R00043,7,Colwyn,v2_12month,6.1,35-54,Male,West,Bachelor's or higher,Urban,1,1,0,5,4,3,2,4,3,2,1
R00044,9,Colwyn,v2_12month,10.0,18-34,Male,Midwest,Bachelor's or higher,Suburban,1,0,0,2,3,4,5,1,2,3,4
R00045,3,Meridian,v2_12month,6.2,35-54,Female,South,Some college,Urban,0,0,0,5,4,2,1,1,5,3,2
R00046,9,Colwyn,v2_12month,5.2,18-34,Male,Midwest,High school or less,Suburban,0,0,0,2,3,5,1,1,2,4,5
R00047,7,Colwyn,v2_12month,7.1,18-34,Female,South,Some college,Urban,0,0,0,1,5,4,3,2,1,5,4
R00048,7,Colwyn,v2_12month,7.6,18-34,Female,Midwest,High school or less,Urban,0,0,0,4,5,1,2,5,1,2,3
R00049,3,Meridian,v2_12month,9.1,55-64,Male,Northeast,High school or less,Suburban,1,0,0,2,1,4,3,1,5,3,2
R00050,8,Colwyn,v2_12month,6.9,35-54,Male,West,Some college,Suburban,1,1,0,3,2,1,5,4,3,2,1
R00051,6,Colwyn,v2_12month,6.9,18-34,Male,Midwest,Bachelor's or higher,Urban,0,0,0,2,3,5,1,1,2,4,5
R00052,4,Colwyn,v2_12month,9.3,18-34,Male,South,Bachelor's or higher,Urban,0,0,0,2,1,4,3,3,2,5,4
R00053,1,Meridian,v1_3month,5.4,18-34,Male,West,Bachelor's or higher,Suburban,1,0,0,3,4,5,1,2,3,4,5
R00054,2,Meridian,v1_3month,7.5,55-64,Male,West,Bachelor's or higher,Urban,1,0,0,2,1,5,4,1,5,4,3
R00055,6,Colwyn,v2_12month,8.0,18-34,Female,Northeast,High school or less,Suburban,0,0,0,2,3,5,1,3,4,1,2
R00056,6,Colwyn,v2_12month,5.6,35-54,Male,Midwest,Bachelor's or higher,Suburban,0,0,0,3,2,5,4,2,1,4,3
R00057,2,Meridian,v1_3month,6.4,35-54,Male,South,Bachelor's or higher,Suburban,1,0,0,1,2,3,4,2,3,4,5
R00058,9,Colwyn,v2_12month,6.3,18-34,Male,Midwest,High school or less,Rural,0,0,0,4,3,2,1,5,4,3,2
R00059,5,Colwyn,v2_12month,9.0,18-34,Female,West,Bachelor's or higher,Rural,0,0,0,4,5,2,3,3,4,1,2
R00060,4,Colwyn,v2_12month,2.4,55-64,Male,West,Bachelor's or higher,Urban,0,0,0,3,4,1,2,4,5,2,3
R00061,9,Colwyn,v2_12month,5.7,35-54,Male,South,High school or less,Rural,1,1,1,5,4,3,2,4,3,2,1
R00062,5,Colwyn,v2_12month,5.7,35-54,Male,West,Bachelor's or higher,Rural,0,0,0,4,5,1,2,5,1,2,3
R00063,8,Colwyn,v2_12month,7.2,18-34,Female,South,Bachelor's or higher,Urban,1,0,0,5,4,2,1,4,3,1,5
R00064,5,Colwyn,v2_12month,5.1,65+,Female,West,High school or less,Urban,0,0,0,1,2,4,5,5,1,3,4
R00065,9,Colwyn,v2_12month,5.1,18-34,Male,West,Some college,Suburban,0,0,0,3,2,1,5,4,3,2,1
R00066,8,Colwyn,v2_12month,9.4,18-34,Female,South,Bachelor's or higher,Urban,1,0,0,4,5,1,2,3,4,5,1
R00067,8,Colwyn,v2_12month,7.5,18-34,Female,South,Bachelor's or higher,Urban,0,0,0,1,5,3,2,2,1,4,3
R00068,8,Colwyn,v2_12month,8.5,55-64,Female,South,Some college,Rural,1,0,0,1,2,4,5,2,3,5,1
R00069,4,Colwyn,v2_12month,9.4,55-64,Female,South,Some college,Suburban,1,0,0,3,2,1,5,2,1,5,4
R00070,3,Meridian,v2_12month,4.9,35-54,Female,West,Bachelor's or higher,Urban,1,0,0,3,3,3,3,3,3,3,3
R00071,4,Colwyn,v2_12month,7.4,35-54,Female,West,Some college,Urban,0,0,0,2,3,4,5,3,4,5,1
R00072,4,Colwyn,v2_12month,9.8,55-64,Female,West,High school or less,Suburban,1,1,1,2,1,5,4,1,5,4,3
R00073,4,Colwyn,v2_12month,7.3,55-64,Female,West,Bachelor's or higher,Urban,1,1,1,5,1,3,4,1,2,4,5
R00074,2,Meridian,v1_3month,7.4,55-64,Female,West,Some college,Rural,1,1,1,2,1,4,3,3,2,5,4
R00075,7,Colwyn,v2_12month,9.9,35-54,Male,West,Some college,Rural,1,0,0,1,2,3,4,5,1,2,3
R00076,5,Colwyn,v2_12month,9.7,18-34,Male,South,Some college,Urban,1,1,1,1,5,4,3,2,1,5,4
R00077,2,Meridian,v1_3month,5.0,35-54,Male,Midwest,High school or less,Rural,0,0,0,2,3,5,1,1,2,4,5
R00078,9,Colwyn,v2_12month,8.0,18-34,Male,Midwest,Bachelor's or higher,Urban,1,0,0,4,3,1,5,3,2,5,4
R00079,7,Colwyn,v2_12month,5.9,35-54,Female,Midwest,Bachelor's or higher,Suburban,1,0,0,3,4,5,1,4,5,1,2
R00080,5,Colwyn,v2_12month,8.8,18-34,Female,West,Bachelor's or higher,Urban,0,0,0,5,1,2,3,4,5,1,2
R00081,1,Meridian,v1_3month,8.4,55-64,Male,Midwest,Bachelor's or higher,Urban,1,0,0,4,3,1,5,5,4,2,1
R00082,7,Colwyn,v2_12month,7.5,18-34,Female,West,Bachelor's or higher,Suburban,1,0,0,1,2,4,5,5,1,3,4
R00083,3,Meridian,v2_12month,5.7,65+,Male,Midwest,Some college,Urban,1,1,0,4,4,4,4,4,4,4,4
R00084,2,Meridian,v1_3month,5.0,55-64,Male,West,Bachelor's or higher,Rural,1,1,1,5,1,2,3,1,2,3,4
R00085,9,Colwyn,v2_12month,9.3,18-34,Female,Northeast,Bachelor's or higher,Suburban,0,0,0,5,4,2,1,4,3,1,5
R00086,9,Colwyn,v2_12month,9.2,18-34,Male,West,High school or less,Urban,1,0,0,5,1,3,4,1,2,4,5
R00087,5,Colwyn,v2_12month,5.0,18-34,Female,South,Some college,Urban,0,0,0,3,2,1,5,2,1,5,4
R00088,9,Colwyn,v2_12month,5.0,18-34,Male,West,Bachelor's or higher,Urban,0,0,0,3,4,5,1,2,3,4,5
R00089,6,Colwyn,v2_12month,8.3,18-34,Female,South,Bachelor's or higher,Rural,0,0,0,1,5,3,2,2,1,4,3
R00090,4,Colwyn,v2_12month,6.6,18-34,Male,West,Some college,Urban,1,1,1,1,5,4,3,5,4,3,2
R00091,8,Colwyn,v2_12month,9.7,18-34,Female,South,Some college,Urban,1,1,1,2,3,5,1,3,4,1,2
R00092,1,Meridian,v1_3month,8.7,35-54,Male,South,Some college,Suburban,1,1,1,3,2,5,4,2,1,4,3
R00093,8,Colwyn,v2_12month,2.3,18-34,Female,Midwest,Bachelor's or higher,Suburban,0,0,0,2,3,4,5,3,4,5,1
R00094,4,Colwyn,v2_12month,8.7,35-54,Male,Midwest,High school or less,Suburban,1,1,1,1,5,4,3,2,1,5,4
R00095,7,Colwyn,v2_12month,9.2,55-64,Male,Midwest,High school or less,Urban,1,0,0,4,5,2,3,3,4,1,2
R00096,5,Colwyn,v2_12month,7.8,18-34,Male,West,Bachelor's or higher,Urban,0,0,0,1,5,3,2,2,1,4,3
R00097,9,Colwyn,v2_12month,5.3,55-64,Female,South,Bachelor's or higher,Rural,1,0,0,3,4,5,1,2,3,4,5
R00098,5,Colwyn,v2_12month,5.4,35-54,Female,Midwest,Some college,Suburban,1,1,1,1,5,4,3,5,4,3,2
R00099,5,Colwyn,v2_12month,8.1,18-34,Male,West,Bachelor's or higher,Urban,0,0,0,4,5,2,3,5,1,3,4
R00100,8,Colwyn,v2_12month,8.9,18-34,Male,Midwest,High school or less,Rural,0,0,0,1,1,1,1,1,1,1,1
R00101,8,Colwyn,v2_12month,7.6,18-34,Female,Northeast,High school or less,Urban,1,0,0,3,4,5,1,2,3,4,5
R00102,7,Colwyn,v2_12month,6.8,18-34,Female,South,Some college,Suburban,1,0,0,1,5,4,3,2,1,5,4
R00103,2,Meridian,v1_3month,6.1,18-34,Male,Midwest,Some college,Rural,1,0,0,2,3,5,1,1,2,4,5
R00104,3,Meridian,v2_12month,5.1,55-64,Male,South,Some college,Rural,1,0,0,2,1,4,3,1,5,3,2
R00105,4,Colwyn,v2_12month,7.7,18-34,Female,Northeast,High school or less,Urban,0,0,0,1,2,3,4,2,3,4,5
R00106,6,Colwyn,v2_12month,5.8,18-34,Male,South,Bachelor's or higher,Urban,0,0,0,3,3,3,3,3,3,3,3
R00107,4,Colwyn,v2_12month,6.7,18-34,Female,Midwest,Bachelor's or higher,Urban,0,0,0,3,4,1,2,4,5,2,3
R00108,4,Colwyn,v2_12month,5.3,35-54,Female,South,High school or less,Urban,1,0,0,2,1,4,3,3,2,5,4
R00109,4,Colwyn,v2_12month,6.0,18-34,Male,Northeast,Bachelor's or higher,Suburban,0,0,0,1,2,3,4,5,1,2,3
R00110,9,Colwyn,v2_12month,6.8,18-34,Female,South,Bachelor's or higher,Suburban,1,0,0,3,4,1,2,2,3,5,1
R00111,9,Colwyn,v2_12month,6.3,18-34,Female,South,Some college,Urban,0,0,0,5,4,3,2,1,5,4,3
R00112,5,Colwyn,v2_12month,6.4,18-34,Male,West,High school or less,Urban,0,0,0,2,3,4,5,1,2,3,4
R00113,6,Colwyn,v2_12month,2.4,35-54,Female,Midwest,High school or less,Urban,0,0,0,5,4,2,1,1,5,3,2
R00114,1,Meridian,v1_3month,5.6,65+,Male,Northeast,High school or less,Urban,1,1,0,1,2,4,5,2,3,5,1
R00115,6,Colwyn,v2_12month,2.2,18-34,Female,Midwest,Bachelor's or higher,Urban,1,0,0,5,4,3,2,4,3,2,1
R00116,1,Meridian,v1_3month,9.5,65+,Male,West,High school or less,Urban,1,0,0,1,2,3,4,2,3,4,5
R00117,6,Colwyn,v2_12month,9.8,35-54,Female,South,Bachelor's or higher,Rural,1,1,1,2,1,4,3,1,5,3,2
R00118,8,Colwyn,v2_12month,6.9,18-34,Male,South,Bachelor's or higher,Urban,0,0,0,5,2,3,4,5,1,3,4
R00119,8,Colwyn,v2_12month,8.1,35-54,Male,Midwest,High school or less,Suburban,0,0,0,4,3,2,1,5,4,3,2
R00120,5,Colwyn,v2_12month,8.9,65+,Female,Northeast,High school or less,Suburban,0,0,0,2,1,5,4,1,5,4,3
R00121,9,Colwyn,v2_12month,9.4,35-54,Male,South,Some college,Rural,0,0,0,1,2,4,5,2,3,5,1
R00122,9,Colwyn,v2_12month,7.0,65+,Female,South,High school or less,Rural,1,0,0,2,1,4,3,1,5,3,2
R00123,5,Colwyn,v2_12month,7.9,35-54,Female,Northeast,High school or less,Suburban,0,0,0,5,1,2,3,1,2,3,4
R00124,1,Meridian,v1_3month,8.3,18-34,Male,Midwest,High school or less,Urban,0,0,0,2,1,5,4,3,2,1,5
R00125,8,Colwyn,v2_12month,8.4,18-34,Female,South,Bachelor's or higher,Urban,0,0,0,1,2,4,5,5,1,3,4
R00126,6,Colwyn,v2_12month,5.5,18-34,Female,West,Bachelor's or higher,Urban,1,0,0,1,5,3,2,2,1,4,3
R00127,4,Colwyn,v2_12month,6.8,35-54,Female,Midwest,Bachelor's or higher,Rural,1,0,0,2,3,4,5,1,2,3,4
R00128,8,Colwyn,v2_12month,5.7,35-54,Male,South,Bachelor's or higher,Suburban,1,1,1,1,5,4,3,5,4,3,2
R00129,4,Colwyn,v2_12month,7.1,18-34,Male,South,Some college,Suburban,1,0,0,4,5,2,3,5,1,3,4
R00130,8,Colwyn,v2_12month,8.7,35-54,Male,South,Some college,Urban,0,0,0,4,5,1,2,3,4,5,1
R00131,8,Colwyn,v2_12month,7.9,18-34,Female,South,Bachelor's or higher,Urban,1,0,0,5,4,2,1,1,5,3,2
R00132,2,Meridian,v1_3month,7.2,65+,Male,Midwest,Bachelor's or higher,Urban,1,0,0,5,1,3,4,4,5,2,3
R00133,6,Colwyn,v2_12month,5.1,35-54,Female,South,High school or less,Urban,1,0,0,3,2,1,5,4,3,2,1
R00134,9,Colwyn,v2_12month,9.0,18-34,Male,South,Some college,Suburban,0,0,0,3,4,5,1,4,5,1,2
R00135,5,Colwyn,v2_12month,2.0,18-34,Female,South,Some college,Suburban,0,0,0,1,5,3,2,5,4,2,1
R00136,4,Colwyn,v2_12month,5.6,35-54,Female,South,High school or less,Rural,1,0,0,4,5,2,3,5,1,3,4
R00137,9,Colwyn,v2_12month,9.1,18-34,Male,Midwest,Bachelor's or higher,Rural,1,1,1,1,5,4,3,5,4,3,2
R00138,4,Colwyn,v2_12month,6.2,35-54,Female,South,High school or less,Suburban,1,0,0,1,2,4,5,1,2,3,4
R00139,6,Colwyn,v2_12month,7.6,55-64,Male,South,Bachelor's or higher,Urban,1,0,0,5,4,2,1,1,5,3,2
R00140,4,Colwyn,v2_12month,5.8,18-34,Female,Midwest,Some college,Urban,0,0,0,4,3,1,5,3,2,5,4
R00141,1,Meridian,v1_3month,7.8,35-54,Male,South,Some college,Suburban,1,1,1,1,2,3,4,2,3,4,5
R00142,7,Colwyn,v2_12month,7.9,18-34,Female,Midwest,Bachelor's or higher,Suburban,0,0,0,4,3,2,1,3,2,1,5
R00143,1,Meridian,v1_3month,6.0,35-54,Female,South,High school or less,Rural,1,0,0,2,3,5,1,3,4,1,2
R00144,6,Colwyn,v2_12month,8.4,55-64,Female,South,Bachelor's or higher,Rural,0,0,0,2,2,2,2,2,2,2,2
R00145,9,Colwyn,v2_12month,9.2,35-54,Male,South,Some college,Urban,1,0,0,2,3,4,5,1,2,3,4
R00146,7,Colwyn,v2_12month,9.0,35-54,Female,South,High school or less,Urban,1,1,0,4,4,4,4,4,4,4,4
R00147,3,Meridian,v2_12month,6.0,55-64,Female,West,Bachelor's or higher,Rural,1,0,0,3,4,1,2,2,3,5,1
R00148,6,Colwyn,v2_12month,7.1,55-64,Male,South,Bachelor's or higher,Urban,1,1,1,5,4,2,1,4,3,1,5
R00149,5,Colwyn,v2_12month,6.9,18-34,Female,South,Bachelor's or higher,Suburban,0,0,0,4,5,1,2,5,1,2,3
R00150,1,Meridian,v1_3month,4.8,55-64,Male,South,Bachelor's or higher,Urban,0,0,0,1,2,4,5,2,3,5,1
R00151,4,Colwyn,v2_12month,9.5,18-34,Female,West,High school or less,Suburban,1,0,0,1,5,4,3,5,4,3,2
R00152,6,Colwyn,v2_12month,8.4,55-64,Female,West,Some college,Urban,1,0,0,1,2,3,4,2,3,4,5
R00153,3,Meridian,v2_12month,9.8,35-54,Male,West,Bachelor's or higher,Suburban,1,1,1,1,5,3,2,5,4,2,1
R00154,4,Colwyn,v2_12month,5.9,18-34,Male,Northeast,Some college,Suburban,0,0,0,2,3,5,1,1,2,4,5
R00155,5,Colwyn,v2_12month,9.6,35-54,Female,West,Some college,Suburban,1,0,0,1,5,4,3,2,1,5,4
R00156,5,Colwyn,v2_12month,7.4,18-34,Female,South,High school or less,Urban,1,0,0,2,3,4,5,1,2,3,4
R00157,7,Colwyn,v2_12month,4.9,18-34,Female,South,High school or less,Urban,0,0,0,3,2,5,4,4,3,1,5
R00158,5,Colwyn,v2_12month,7.7,18-34,Male,South,High school or less,Suburban,0,0,0,4,5,2,3,5,1,3,4
R00159,7,Colwyn,v2_12month,8.6,35-54,Female,South,Bachelor's or higher,Suburban,1,1,1,3,2,1,5,2,1,5,4
R00160,5,Colwyn,v2_12month,7.9,55-64,Female,South,High school or less,Suburban,1,0,0,4,3,2,1,5,4,3,2
R00161,9,Colwyn,v2_12month,7.9,18-34,Male,Midwest,Bachelor's or higher,Urban,0,0,0,1,2,4,5,5,1,3,4
R00162,7,Colwyn,v2_12month,8.5,18-34,Female,South,Bachelor's or higher,Urban,0,0,0,1,5,3,2,2,1,4,3
R00163,9,Colwyn,v2_12month,9.3,35-54,Female,South,Bachelor's or higher,Urban,0,0,0,4,5,1,2,3,4,5,1
R00164,2,Meridian,v1_3month,6.7,35-54,Female,South,Some college,Rural,1,0,0,5,4,3,2,4,3,2,1
R00165,6,Colwyn,v2_12month,8.4,18-34,Male,Northeast,Some college,Urban,0,0,0,3,4,1,2,4,5,2,3
R00166,6,Colwyn,v2_12month,5.9,65+,Male,Midwest,Some college,Suburban,1,0,0,5,4,2,1,4,3,1,5
R00167,1,Meridian,v1_3month,9.8,35-54,Male,South,Some college,Suburban,0,0,0,5,1,2,3,1,2,3,4
R00168,9,Colwyn,v2_12month,2.3,35-54,Female,West,Bachelor's or higher,Suburban,0,0,0,1,5,4,3,2,1,5,4
R00169,4,Colwyn,v2_12month,7.2,18-34,Female,South,Some college,Urban,0,0,0,2,4,5,1,2,3,5,1
R00170,9,Colwyn,v2_12month,9.4,65+,Male,West,High school or less,Urban,1,0,0,3,4,5,1,4,5,1,2
R00171,3,Meridian,v2_12month,9.6,55-64,Female,South,Bachelor's or higher,Suburban,1,0,0,5,4,2,1,4,3,1,5
R00172,4,Colwyn,v2_12month,5.4,55-64,Female,Northeast,High school or less,Urban,0,0,0,4,5,2,3,5,1,3,4
R00173,2,Meridian,v1_3month,7.0,65+,Female,West,Some college,Rural,1,1,1,3,2,1,5,2,1,5,4
R00174,7,Colwyn,v2_12month,6.3,18-34,Male,South,High school or less,Urban,1,1,1,5,1,2,3,4,5,1,2
R00175,6,Colwyn,v2_12month,6.5,18-34,Male,Midwest,Some college,Rural,1,0,0,3,2,5,4,4,3,1,5
R00176,9,Colwyn,v2_12month,7.9,18-34,Male,Midwest,Some college,Urban,0,0,0,5,1,3,4,4,5,2,3
R00177,2,Meridian,v1_3month,7.2,18-34,Female,South,High school or less,Urban,1,0,0,4,3,2,1,5,4,3,2
R00178,8,Colwyn,v2_12month,5.1,18-34,Female,Midwest,Bachelor's or higher,Suburban,0,0,0,2,3,4,5,3,4,5,1
R00179,6,Colwyn,v2_12month,6.5,35-54,Male,South,High school or less,Suburban,1,1,1,3,2,5,4,2,1,4,3
R00180,9,Colwyn,v2_12month,5.0,18-34,Female,South,Bachelor's or higher,Urban,1,0,0,3,2,5,4,4,3,1,5
R00181,4,Colwyn,v2_12month,5.1,55-64,Male,Midwest,Bachelor's or higher,Urban,1,0,0,5,1,2,3,4,5,1,2
R00182,2,Meridian,v1_3month,7.7,35-54,Male,West,Bachelor's or higher,Rural,0,0,0,4,3,2,1,5,4,3,2
R00183,9,Colwyn,v2_12month,2.2,18-34,Female,West,High school or less,Suburban,1,1,1,2,3,5,1,1,2,4,5
R00184,1,Meridian,v1_3month,8.2,65+,Male,West,High school or less,Urban,1,0,0,1,5,3,2,5,4,2,1
R00185,9,Colwyn,v2_12month,6.7,65+,Female,Northeast,High school or less,Urban,1,0,0,5,1,2,3,1,2,3,4
R00186,5,Colwyn,v2_12month,6.6,18-34,Male,West,Some college,Urban,0,0,0,1,5,4,3,5,4,3,2
R00187,8,Colwyn,v2_12month,9.6,18-34,Male,Northeast,Bachelor's or higher,Urban,1,1,1,5,1,3,4,1,2,4,5
R00188,1,Meridian,v1_3month,5.1,65+,Female,South,Some college,Suburban,1,1,1,1,5,3,2,2,1,4,3
R00189,8,Colwyn,v2_12month,9.0,35-54,Male,South,High school or less,Urban,1,0,0,2,3,4,5,1,2,3,4
R00190,1,Meridian,v1_3month,7.9,35-54,Female,South,Bachelor's or higher,Suburban,0,0,0,4,5,1,2,3,4,1,2
R00191,9,Colwyn,v2_12month,7.9,65+,Male,South,High school or less,Urban,0,0,0,4,3,2,1,5,4,3,2
R00192,6,Colwyn,v2_12month,6.4,35-54,Female,Midwest,Bachelor's or higher,Suburban,1,1,1,4,5,1,2,3,4,5,1
R00193,5,Colwyn,v2_12month,6.8,18-34,Female,South,High school or less,Suburban,0,0,0,3,2,5,4,4,3,1,5
R00194,2,Meridian,v1_3month,9.0,65+,Male,South,Some college,Rural,1,1,1,3,4,1,2,4,5,2,3
R00195,7,Colwyn,v2_12month,8.5,55-64,Female,Midwest,Bachelor's or higher,Urban,1,1,1,4,3,2,1,3,2,1,5
R00196,7,Colwyn,v2_12month,7.4,35-54,Female,Midwest,High school or less,Suburban,1,1,0,2,3,4,5,3,4,5,1
R00197,8,Colwyn,v2_12month,6.5,18-34,Male,South,Some college,Urban,1,0,0,4,3,1,5,3,2,5,4
R00198,6,Colwyn,v2_12month,4.8,55-64,Male,Midwest,High school or less,Urban,1,0,0,5,1,3,4,4,5,2,3
R00199,2,Meridian,v1_3month,7.3,18-34,Female,South,Bachelor's or higher,Urban,0,0,0,5,4,3,2,1,5,4,3
R00200,4,Colwyn,v2_12month,9.8,18-34,Female,South,Bachelor's or higher,Suburban,1,1,0,1,2,4,5,5,1,3,4
R00201,8,Colwyn,v2_12month,9.8,18-34,Female,South,Some college,Suburban,0,0,0,4,3,2,1,5,4,3,2
R00202,7,Colwyn,v2_12month,8.9,18-34,Female,South,Some college,Urban,1,0,0,5,1,2,3,4,5,1,2
R00203,7,Colwyn,v2_12month,7.1,18-34,Female,Midwest,Bachelor's or higher,Urban,0,0,0,2,1,4,3,3,2,5,4
R00204,4,Colwyn,v2_12month,8.2,35-54,Male,West,Some college,Urban,0,0,0,4,5,2,3,5,1,3,4
R00205,8,Colwyn,v2_12month,5.2,18-34,Female,South,High school or less,Suburban,1,1,1,1,5,4,3,5,4,3,2
R00206,5,Colwyn,v2_12month,5.2,35-54,Male,West,Bachelor's or higher,Suburban,1,0,0,4,5,1,2,5,1,2,3
R00207,8,Colwyn,v2_12month,6.8,18-34,Female,Midwest,Bachelor's or higher,Rural,1,0,0,5,4,2,1,4,3,1,5
R00208,5,Colwyn,v2_12month,8.0,35-54,Female,West,Bachelor's or higher,Urban,0,0,0,2,3,5,1,1,2,4,5
R00209,4,Colwyn,v2_12month,9.7,35-54,Male,West,High school or less,Suburban,0,0,0,1,5,4,3,2,1,5,4
R00210,1,Meridian,v1_3month,7.0,35-54,Female,South,Some college,Suburban,1,1,1,2,1,4,3,3,2,5,4
R00211,6,Colwyn,v2_12month,9.4,35-54,Female,West,Some college,Rural,1,1,1,1,2,3,4,5,1,2,3
R00212,4,Colwyn,v2_12month,9.3,18-34,Male,South,High school or less,Urban,0,0,0,2,1,5,4,3,2,1,5
R00213,1,Meridian,v1_3month,9.8,35-54,Female,Northeast,High school or less,Rural,1,1,0,3,4,1,2,2,3,5,1
